Location,Title,Company,Url
"Monterrey, Nuevo León, Mexico",Desarrollador IA (Inteligencia Artificial),Tecnológico de Monterrey,https://mx.linkedin.com/jobs/view/desarrollador-ia-inteligencia-artificial-at-tecnol%C3%B3gico-de-monterrey-3996580560?position=1&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=ItwpL8snH6W4sQdn0NftSg%3D%3D&trk=public_jobs_jserp-result_search-card
"San Pedro Garza García, Nuevo León, Mexico",Data Science Analyst,Steelcase,https://mx.linkedin.com/jobs/view/data-science-analyst-at-steelcase-3979385708?position=2&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=wRCmPiFeG0H8d5SsSLfmCw%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",AI Engineer,NEORIS,https://mx.linkedin.com/jobs/view/ai-engineer-at-neoris-3984233060?position=3&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=lC7qmfH5Icojr18CuHVSrw%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Data Scientist Sr,Linde Advanced Material Technologies,https://mx.linkedin.com/jobs/view/data-scientist-sr-at-linde-advanced-material-technologies-3961915237?position=4&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=xAtcaYpjKKYwznDxEDewVQ%3D%3D&trk=public_jobs_jserp-result_search-card
"San Nicolás de Los Garza, Nuevo León, Mexico",Científico de datos,Ternium,https://mx.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-ternium-3995105832?position=5&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=dePWPHknroelQ5arbbT5aQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Data Scientist (Consultant),NEORIS,https://mx.linkedin.com/jobs/view/data-scientist-consultant-at-neoris-3997049604?position=6&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=WjYL2z8ZIoLL3RC7fRPypQ%3D%3D&trk=public_jobs_jserp-result_search-card
"San Nicolás de Los Garza, Nuevo León, Mexico",Sr. Data Scientist Machine Learning,Ternium,https://mx.linkedin.com/jobs/view/sr-data-scientist-machine-learning-at-ternium-3995109132?position=7&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=ZwzKz4qNiDNgFie1EVrFTw%3D%3D&trk=public_jobs_jserp-result_search-card
"San Nicolás de los Garza, Nuevo León, Mexico",Senior Data Scientist,KEMET Electronics Corporation,https://mx.linkedin.com/jobs/view/senior-data-scientist-at-kemet-electronics-corporation-3996914052?position=8&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=twgYK3P3Vn%2FJ02jZou%2B7%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",AI/ML Engineer,Tata Consultancy Services,https://mx.linkedin.com/jobs/view/ai-ml-engineer-at-tata-consultancy-services-3989995436?position=9&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=LCQkoyvlNMg71F0g2Zsuqg%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Machine Learning Engineer,Chubb,https://mx.linkedin.com/jobs/view/machine-learning-engineer-at-chubb-3880903729?position=10&pageNum=0&refId=GgppOkY6zov7yHphyD%2FdUg%3D%3D&trackingId=nLhrcHZJHAsuzl2FgxbWuw%3D%3D&trk=public_jobs_jserp-result_search-card
